Character,Field,Value
Dan Mason,Occupation,Bookmaker
Dan Mason,Born,c.1976
Dan Mason,Father,Harry Mason
Dan Mason,First appearance,3rd December 2007
Dan Mason,Last appearance,14th November 2008
Dan Mason,Duration,2007-2008
Dan Mason,Number of appearances,108
Dan Mason,Played by,Matthew Crompton
Tracy McDonald,Occupation,Manager of Preston's Petals
Tracy McDonald,Born,24th January 1977
Tracy McDonald,Birthplace,Weatherfield General
Tracy McDonald,Residence,1 Coronation Street
Tracy McDonald,Father,Ray Langton (biological)Ken Barlow (adoptive)
Tracy McDonald,Mother,Deirdre Barlow
Tracy McDonald,Sibling(s),Lawrence Cunningham (adoptive half-brother)Peter Barlow (adoptive half-brother)Susan Barlow (adoptive half-sister)Daniel Osbourne (adoptive half-brother)Unnamed stillborn half-brother
Tracy McDonald,Spouse(s),"Robert Preston (1996)Roy Cropper (2003)Steve McDonald (2012, 2018)"
Tracy McDonald,Children,Amy Barlow (2004)
Tracy McDonald,First appearance,24th January 1977
Tracy McDonald,Duration,"1977-1983, 1985-1995, 1996, 1997, 1999, 2002-2007, 2010 to present"
Tracy McDonald,Number of appearances,2601 (as of Episode 11557/8)
Tracy McDonald,Played by,Christabel Finch (1977-1983)Holly Chamarette (1985-1988)Dawn Acton (1988-1999)Kate Ford (2002 to present)
Lloyd Mullaney,Occupation,Taxi driver  Businessman
Lloyd Mullaney,Born,1964
Lloyd Mullaney,Residence,Jersey
Lloyd Mullaney,Children,Jenna Kamara (1984)Second daughter (2016)
Lloyd Mullaney,First appearance,20th June 2005
Lloyd Mullaney,Last appearance,25th September 2015
Lloyd Mullaney,Duration,"2005-2006, 2007-2011, 2012-2015"
Lloyd Mullaney,Number of appearances,954
Lloyd Mullaney,Played by,Craig Charles
Sean Tully,Occupation,Machinist
Sean Tully,Born,13th September 1976
Sean Tully,Residence,"Flat 2, Weatherfield Precinct"
Sean Tully,Father,Paul Jones
Sean Tully,Mother,Maureen Tully
Sean Tully,Sibling(s),Half-brother
Sean Tully,Children,Dylan Wilson (2008)
Sean Tully,First appearance,13th July 2003
Sean Tully,Duration,"2003, 2004 to present"
Sean Tully,Number of appearances,2128 (as of Episode 11557/8)
Sean Tully,Played by,Antony Cotton
Lucille Hewitt,Occupation,Factory worker
Lucille Hewitt,Born,4th May 1949
Lucille Hewitt,Residence,Ireland
Lucille Hewitt,Father,Harry Hewitt
Lucille Hewitt,Mother,Lizzie Hewitt
Lucille Hewitt,Sibling(s),Christopher Hewitt (half-brother)
Lucille Hewitt,First appearance,21st December 1960
Lucille Hewitt,Last appearance,1st July 1974
Lucille Hewitt,Duration,"1960-1961, 1962-1969, 1970-1974"
Lucille Hewitt,Number of appearances,744
Lucille Hewitt,Played by,Jennifer Moss
Nita Desai,Occupation,Shop manager
Nita Desai,Born,30th April 1975
Nita Desai,Father,Ravi Desai
Nita Desai,Sibling(s),Vikram Desai
Nita Desai,Spouse(s),a husband
Nita Desai,First appearance,8th January 1999
Nita Desai,Last appearance,19th May 2000
Nita Desai,Duration,1999-2000
Nita Desai,Number of appearances,122
Nita Desai,Played by,Rebecca Sarker
Bobby Crawford,Occupation,Underworld sales clerk
Bobby Crawford,Born,May 2002
Bobby Crawford,Father,Rob Donovan
Bobby Crawford,First appearance,27th December 2023
Bobby Crawford,Duration,2023 to present
Bobby Crawford,Number of appearances,122 (as of Episode 11557/8)
Bobby Crawford,Played by,Jack Carroll
Glenda Shuttleworth,Occupation,BarmaidStage school manager
Glenda Shuttleworth,Residence,"2 Conifer Avenue, Oakhill"
Glenda Shuttleworth,Father,Archie Shuttleworth
Glenda Shuttleworth,Sibling(s),George Shuttleworth
Glenda Shuttleworth,First appearance,5th August 2022 (1)
Glenda Shuttleworth,Duration,2022 to present
Glenda Shuttleworth,Number of appearances,261 (as of Episode 11557/8)
Glenda Shuttleworth,Played by,Jodie Prenger
Joel Deering,Occupation,Solicitor
Joel Deering,Born,13th December
Joel Deering,Died,27th September 2024
Joel Deering,Father,Gus Deering
Joel Deering,Mother,Anthea Deering
Joel Deering,Sibling(s),Three brothers
Joel Deering,Spouse(s),Emily Wilkinson
Joel Deering,Children,Maeve (2023)Frankie Bolton (2024)Laila Bailey (2025)
Joel Deering,First appearance,7th September 2023 (2)
Joel Deering,Last appearance,27th September 2024 (2)  18th November 2024 (1) (Dream sequence)
Joel Deering,Duration,2023-2024
Joel Deering,Number of appearances,125
Joel Deering,Played by,Calum Lill
Ciaran McCarthy,Occupation,Chef
Ciaran McCarthy,Born,1973
Ciaran McCarthy,First appearance,7th August 2002
Ciaran McCarthy,Last appearance,25th November 2011
Ciaran McCarthy,Duration,"2002-2005, 2010-2011"
Ciaran McCarthy,Number of appearances,407
Ciaran McCarthy,Played by,Keith Duffy
Sian Powers,Born,28th December 1993
Sian Powers,Residence,Southport
Sian Powers,Father,Vinnie Powers
Sian Powers,Mother,Janet Powers
Sian Powers,First appearance,26th January 2009
Sian Powers,Last appearance,30th December 2011
Sian Powers,Duration,2009-2011
Sian Powers,Number of appearances,206
Sian Powers,Played by,Sacha Parkinson
Curly Watts,Occupation,Retail manager
Curly Watts,Born,28th June 1963
Curly Watts,Birthplace,Stockport
Curly Watts,Residence,Newcastle
Curly Watts,Father,Arthur Watts
Curly Watts,Mother,Eunice Watts
Curly Watts,Spouse(s),Raquel Wolstenhulme (1995)  Emma Taylor (2000)
Curly Watts,Children,Alice Watts (1997)  Ben Watts (2001)
Curly Watts,First appearance,11th July 1983
Curly Watts,Last appearance,1st September 2003
Curly Watts,Duration,1983-2003
Curly Watts,Number of appearances,1563
Curly Watts,Played by,Kevin Kennedy
Pam Hobsworth,Occupation,Saleswoman
Pam Hobsworth,Sibling(s),Diggory Compton
Pam Hobsworth,Spouse(s),Mr Hobsworth  three other husbands
Pam Hobsworth,First appearance,16th July 2008
Pam Hobsworth,Last appearance,3rd May 2012
Pam Hobsworth,Duration,"2008-2010, 2011, 2012"
Pam Hobsworth,Number of appearances,129
Pam Hobsworth,Played by,Kate Anthony
Gemma Winter-Brown,Occupation,Barmaid
Gemma Winter-Brown,Born,24th August 1990
Gemma Winter-Brown,Residence,5 Coronation Street
Gemma Winter-Brown,Father,Denny Foreman
Gemma Winter-Brown,Mother,Bernie Winter
Gemma Winter-Brown,Sibling(s),Paul ForemanKit Green (half brother)
Gemma Winter-Brown,Spouse(s),Chesney Brown (2023)
Gemma Winter-Brown,Children,Aled Winter-Brown (2019)Bryn Winter-Brown (2019)Carys Winter-Brown (2019)Llio Winter-Brown (2019)
Gemma Winter-Brown,First appearance,1st October 2014
Gemma Winter-Brown,Duration,"2014, 2015, 2016 to present"
Gemma Winter-Brown,Number of appearances,955 (as of Episode 11557/8)
Gemma Winter-Brown,Played by,Dolly-Rose Campbell
Brian Packham,Occupation,Co-owner of The Kabin
Brian Packham,Born,20th August 1963
Brian Packham,Residence,12 Coronation Street
Brian Packham,Spouse(s),Margaret Packham
Brian Packham,First appearance,15th April 2010
Brian Packham,Duration,"2010, 2011-2013, 2015, 2016 to present"
Brian Packham,Number of appearances,647 (as of Episode 11557/8)
Brian Packham,Played by,Peter Gunn
Keith Appleyard,Occupation,Taxidermist
Keith Appleyard,Residence,Bournemouth
Keith Appleyard,Sibling(s),Margery Appleyard
Keith Appleyard,Spouse(s),Shirley Appleyard
Keith Appleyard,Children,Angela Harris (1964)  Lorraine  Pauline
Keith Appleyard,First appearance,23rd March 2005
Keith Appleyard,Last appearance,30th July 2006
Keith Appleyard,Duration,2005-2006
Keith Appleyard,Number of appearances,128
Keith Appleyard,Played by,Ian Redford
Harry Mason,Occupation,Bookmaker
Harry Mason,Spouse(s),Two previous wives Clarissa Mason (1997)
Harry Mason,Children,Dan Mason
Harry Mason,First appearance,3rd December 2007
Harry Mason,Last appearance,26th September 2008
Harry Mason,Duration,2007-2008
Harry Mason,Number of appearances,85
Harry Mason,Played by,Jack Ellis
Bryn Winter-Brown,Born,30th October 2019
Bryn Winter-Brown,Birthplace,"Llandudno, Wales"
Bryn Winter-Brown,Residence,5 Coronation Street
Bryn Winter-Brown,Father,Chesney Winter-Brown
Bryn Winter-Brown,Mother,Gemma Winter-Brown
Bryn Winter-Brown,Sibling(s),Joseph Brown (half-brother)  Aled Winter-Brown  Carys Winter-Brown  Llio Winter-Brown
Bryn Winter-Brown,First appearance,30th October 2019
Bryn Winter-Brown,Duration,"2019-2020, 2022 to present"
Bryn Winter-Brown,Number of appearances,91 (as of Episode 11557/8)
Bryn Winter-Brown,Played by,Charlotte Holt (2019-2020)  Lily & Lucy Taylor (2019-2020)  Arthur Taylor (2019-2023)  James Holt (2019 to present)
Duggie Ferguson,Occupation,Businessman
Duggie Ferguson,Died,4th February 2002
Duggie Ferguson,Spouse(s),Laura Ferguson
Duggie Ferguson,Children,Tom Ferguson (1980)
Duggie Ferguson,First appearance,15th October 1999
Duggie Ferguson,Last appearance,6th February 2002
Duggie Ferguson,Duration,1999-2002
Duggie Ferguson,Number of appearances,252
Duggie Ferguson,Played by,John Bowe
Oliver Battersby,Born,20th February  2017
Oliver Battersby,Birthplace,Victoria Court
Oliver Battersby,Died,27th November 2020
Oliver Battersby,Father,Steve McDonald
Oliver Battersby,Mother,Leanne Battersby
Oliver Battersby,Sibling(s),Simon Barlow (legal half-brother)Emma Brooker (half-sister)Amy Barlow (half-sister)Ruairi McDonald (half-brother)
Oliver Battersby,First appearance,20th February 2017
