Character,Field,Value
Aadi Alahan,Birthplace,Weatherfield General
Aadi Alahan,Duration,"2006, 2009 to present"
Aadi Alahan,Father,Dev Alahan
Aadi Alahan,First appearance,13th January 2006
Aadi Alahan,Mother,Sunita Alahan
Aadi Alahan,Number of appearances,516 (as of Episode 11557/8)
Aadi Alahan,Occupation,Assistant at the corner shop
Aadi Alahan,Residence,7 Coronation Street
Aadi Alahan,Sibling(s),Shareen (half-sister)  Amber Kalirai (half-sister)  Asha Alahan  Two other half-siblings
Aadi Alahan,Sec,Low
Aadi Alahan,Sic,"Wholesale, retail & repair of motor vehicles"
Aadi Alahan,Gender,Male
Aadi Alahan,No times married,0.0
Aadi Alahan,Played by,"Hannah, Harris & Ria Ahmed (2006)Zennon Ditchett (2009-2019)  Adam Hussain (2020 to present)"
Aadi Alahan,Born,"13th January 2006 (See ""Background information"" below)"
Aadi Alahan,Bigamy committed,False
Aaron Sandford,First appearance,22nd April 2022
Aaron Sandford,Duration,2022-2023
Aaron Sandford,Father,Eric Sandford
Aaron Sandford,Gender,Male
Aaron Sandford,Occupation,Mechanic
Aaron Sandford,Sec,Low
Aaron Sandford,Bigamy committed,False
Aaron Sandford,No times married,0.0
Aaron Sandford,Number of appearances,140
Aaron Sandford,Last appearance,16th June 2023
Aaron Sandford,Sic,"Wholesale, retail & repair of motor vehicles"
Aaron Sandford,Played by,James Craven
Abi Webster,Spouse(s),Kevin Webster (2021)
Abi Webster,Sec,Low
Abi Webster,Occupation,Mechanic at Webster's Autocentre
Abi Webster,Children,Seb Franklin (2001)Charlie Franklin (2012)Lexi Franklin (2012)Alfie Franklin (2022)
Abi Webster,Number of appearances,724 (as of Episode 11557/8)
Abi Webster,First appearance,2nd October 2017 (1)
Abi Webster,Played by,Sally Carman-Duttine
Abi Webster,Sic,"Wholesale, retail & repair of motor vehicles"
Abi Webster,Duration,2017 to present
Abi Webster,No times married,1.0
Abi Webster,Bigamy committed,False
Abi Webster,Birthplace,Doncaster
Abi Webster,Gender,Female
