Character,Birthplace,Children,Duration,Father,Gender,Mother,Number of appearances,Occupation,Played by,Residence,Sec,Sibling(s),Sic,Spouse(s),Born,Died,First appearance,Last appearance,Exit status,Exit date,Start date,Segment,Max segment
Aadi Alahan,Weatherfield General,,"2006, 2009 to present",Dev Alahan,Male,Sunita Alahan,516 (as of Episode 11557/8),Assistant at the corner shop,"Hannah, Harris & Ria Ahmed (2006)Zennon Ditchett (2009-2019)  Adam Hussain (2020 to present)",7 Coronation Street,Low,Shareen (half-sister)  Amber Kalirai (half-sister)  Asha Alahan  Two other half-siblings,"Wholesale, retail & repair of motor vehicles",,2006-01-13,,2006-01-13,,Exit,2006-06-30,2006-01-13,1,2
Aadi Alahan,Weatherfield General,,"2006, 2009 to present",Dev Alahan,Male,Sunita Alahan,516 (as of Episode 11557/8),Assistant at the corner shop,"Hannah, Harris & Ria Ahmed (2006)Zennon Ditchett (2009-2019)  Adam Hussain (2020 to present)",7 Coronation Street,Low,Shareen (half-sister)  Amber Kalirai (half-sister)  Asha Alahan  Two other half-siblings,"Wholesale, retail & repair of motor vehicles",,2006-01-13,,2006-01-13,,Alive,2025-06-30,2009-06-30,2,2
Aaron Sandford,,,2022-2023,Eric Sandford,Male,,140,Mechanic,James Craven,,Low,,"Wholesale, retail & repair of motor vehicles",,,,2022-04-22,2023-06-16,Exit,2023-06-16,2022-04-22,1,1
Abi Webster,Doncaster,Seb Franklin (2001)Charlie Franklin (2012)Lexi Franklin (2012)Alfie Franklin (2022),2017 to present,,Female,,724 (as of Episode 11557/8),Mechanic at Webster's Autocentre,Sally Carman-Duttine,13 Coronation Street,Low,,"Wholesale, retail & repair of motor vehicles",Kevin Webster (2021),,,2017-10-02,,Alive,2025-06-30,2017-10-02,1,1
Adam Barlow,Glasgow,,"2001, 2002, 2003, 2004-2007, 2016 to present",Mike Baldwin,Male,Susan Barlow,1107 (as of Episode 11557/8),Solicitor at Barlow Legal Services,Iain De Caestecker (2001-2003)  Samuel Robertson (2004 to present),19a Victoria Street,High,Danny Baldwin (half-brother)  Mark Redman (half-brother),"Professional, scientific & technical activities",Sarah Platt (2020),1988-05-03,,2001-01-14,,Exit,2007-06-30,2001-01-14,1,2
Adam Barlow,Glasgow,,"2001, 2002, 2003, 2004-2007, 2016 to present",Mike Baldwin,Male,Susan Barlow,1107 (as of Episode 11557/8),Solicitor at Barlow Legal Services,Iain De Caestecker (2001-2003)  Samuel Robertson (2004 to present),19a Victoria Street,High,Danny Baldwin (half-brother)  Mark Redman (half-brother),"Professional, scientific & technical activities",Sarah Platt (2020),1988-05-03,,2001-01-14,,Alive,2025-06-30,2016-06-30,2,2
Aggie Bailey,,Michael BaileyDiana Bailey (1995)James Bailey,2019-2023,Al,Female,,257,Nurse,Lorna Laidlaw,Birmingham,Medium,RaymondAt least two sisters,Human health & social work activities,Ed Bailey (1990),,,2019-06-12,2023-06-12,Exit,2023-06-12,2019-06-12,1,1
Aidan Connor,,Susie Price (2018),2015-2018,Johnny Connor,Male,Louisa Connor,370,,Shayne Ward,,,Carla Connor (half-sister)  Kate Connor,,,1983-04-09,2018-05-07,2015-08-21,2018-05-07,Death,2018-05-07,2015-08-21,1,1
Aidan Critchley,,,2002-2003,Bob Critchley,Male,,70,,Dean Ashton,,,,,,1987-02-01,,2002-04-12,2003-03-17,Exit,2003-03-17,2002-04-12,1,1
Alan Bradley,,Jenny Bradley (1971),1986-1989,,Male,,221,Owner of Weatherfield Security Systems,Mark Eden,,High,,Administrative & support services,Pat Bradley,1939-07-20,1989-12-08,1986-01-15,1989-12-08,Death,1989-12-08,1986-01-15,1,1
